Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
CDC changes mask guidance in response to threat of Delta variant of Covid-19	https://www.cnn.com/2021/07/27/politics/cdc-mask-guidance/index.html	CNN	43.77	-8.78	79,900,000	Left	11.0	July 27, 2021	True	-1.133933				
This is how I'm going to die': At Jan. 6 hearing, officers tell of harrowing attacks	https://www.usatoday.com/story/news/politics/2021/07/27/january-6-committee-officers-recall-violence-pro-donald-trump-mob/5385502001/	USA Today	45.77	-4.12	44,075,000	Left-Center	12.0	July 27, 2021	True	1.374328				
Atlanta-Area Spa Shooter Pleads Guilty in Deal with Prosecutor	https://www.wsj.com/articles/accused-atlanta-area-spa-shooter-pleads-guilty-in-deal-with-prosecutor-11627395081	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	13.0	July 27, 2021	True	LOWDATA				
Officers give emotional testimony at Capitol riot hearing	https://www.cbsnews.com/live-updates/january-6-capitol-riot-select-committee-first-hearing/	CBS News	48.04	-3.14	24,400,000	Left-Center	14.0	July 27, 2021	True	-0.186125				
Simone Biles withdraws, and U.S. gymnastics team settles for silver	https://www.washingtonpost.com/sports/olympics/2021/07/28/simone-biles-withdraws-all-around-final-tokyo-olympics/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	15.0	July 27, 2021	True	-0.010295				
Mask mandates reimposed locally in defiance of state, CDC as cases rise	https://abcnews.go.com/US/mask-mandates-return-local-level-officials-defy-state/story?id=79072477	ABC News	47.28	-4.9	39,500,000	Left-Center	16.0	July 27, 2021	True	0.564703				
Simone Biles pulled out of the Olympic gymnastics team final in Tokyo	https://www.nbcolympics.com/news/simone-biles-withdraws-floor-exercise-final-tokyo	NBC Sports	45.81	-7.46	26,225,000	Left-Center	17.0	July 27, 2021	True	0.429295				
USWNT held by Australia, reach Olympic quarterfinals	https://soccer.nbcsports.com/2021/07/27/uswnt-australia-video-highlights-recap-reaction-analysis/	NBC Sports	45.81	-7.46	26,225,000	Left-Center	18.0	July 27, 2021	True	0.881691				
Hong Kong: First person charged under national security law found guilty	https://www.bbc.com/news/world-asia-china-58022072	BBC News	46.44	-2.74	189,750,000	Left-Center	19.0	July 27, 2021	True	-5.030929				
Five things to watch as Jan. 6 panel begins its work	https://thehill.com/homenews/house/564920-five-things-to-watch-as-jan-6-panel-begins-its-work	The Hill	44.99	-0.38	24,400,000	Neutral	20.0	July 27, 2021	True	-0.414245				
Naomi Osaka knocked out of the Games in third round shocker	https://www.youtube.com/watch?v=bwwz6969pB4	NBC Sports	45.81	-7.46	26,225,000	Left-Center	21.0	July 27, 2021	True	LOWDATA				
Alaskan teen stuns swimming world with surprise gold	https://www.nbcnews.com/news/olympics/alaskan-teen-lydia-jacoby-wins-gold-u-s-upset-100-n1275104	NBC Sports	45.81	-7.46	26,225,000	Left-Center	22.0	July 27, 2021	True	-0.606403				
Mandatory vaccinations for employees reach a 'tipping point'	https://www.washingtonpost.com/health/2021/07/26/mandatory-vaccinations-urged-health-workers/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23.0	July 27, 2021	True	-3.091418				
Extreme weather renews focus on climate change as scientists update forecasts	https://www.reuters.com/business/environment/extreme-weather-renews-focus-climate-change-scientists-update-forecasts-2021-07-26/	REUTERS	49.3	-1.65	40,574,000	Neutral	24.0	July 27, 2021	True	-4.121954				
North and South Korea restore hotline after a year	https://www.bbc.com/news/world-57979937	BBC News	46.44	-2.74	189,750,000	Left-Center	25.0	July 27, 2021	True	0.487603				
Swimming Day 4 roundup: Alaskan swimmer Lydia Jacoby stuns in breaststroke win	https://www.nbcolympics.com/news/swimming-day-4-roundup-alaskan-swimmer-lydia-jacoby-stuns-breaststroke-win	NBC Sports	45.81	-7.46	26,225,000	Left-Center	26.0	July 27, 2021	True	-1.502854				
Shocker in Tokyo: Naomi Osaka upset by Marketa Vondrousova in 3rd round of Olympics	https://sports.yahoo.com/naomi-osaka-marketa-vondrousova-tokyo-olympics-upset-045625307.html	Yahoo Sports	42.71	-6.6		Left-Center	27.0	July 27, 2021	True	-0.288571				
Severe breakthrough infections remain very rare, despite rising concerns	https://www.nationalgeographic.com/science/article/severe-breakthrough-infections-remain-very-rare-despite-rising-concerns	National Geographic	46.11	-2.58		Pro-Science	28.0	July 27, 2021	True	-0.453007				
Infrastructure-Bill Negotiators Try to Overcome Late Hurdles	https://www.wsj.com/articles/infrastructure-bill-negotiators-try-to-overcome-late-hurdles-11627332236	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	29.0	July 27, 2021	True	LOWDATA				
Heat wave bringing triple-digit temperatures from the Pacific to the Gulf Coast this week	https://www.cnn.com/2021/07/26/weather/heat-wave-us-plains-forecast-monday/index.html	CNN	43.77	-8.78	79,900,000	Left	30.0	July 27, 2021	True	4.490702				
										ERROR				
										ERROR				
										ERROR				
Swimming Day 6 roundup: Dressel sprints, Ledecky anchors	https://www.nbcolympics.com/news/swimming-day-6-roundup-dressel-sprints-ledecky-anchors	NBC Sports	45.81	-7.46	26,225,000	Left-Center	1.0	July 28, 2021	True	1.394967				
Whistleblowers detail poor conditions for migrant kids in U.S. tent camp	https://www.cbsnews.com/news/immigration-fort-bliss-migrant-children-whistleblower-complaint/	CBS News	48.04	-3.14	24,400,000	Left-Center	2.0	July 28, 2021	True	-3.445056				
Extreme weather is upending lives in the West. 'You walk around with this vague sense of terror.'	https://www.cnn.com/2021/07/28/weather/extreme-heat-wildfires-climate-change-impact/index.html	CNN	43.77	-8.78	79,900,000	Left	3.0	July 28, 2021	True	-7.780964				
Roads, broadband and bridges: Here's what's in the infrastructure agreement	https://www.usatoday.com/story/news/politics/2021/07/28/infrastructure-bill-includes-roads-bridges-broadband-under-deal/7979680002/	USA Today	45.77	-4.12	44,075,000	Left-Center	4.0	July 28, 2021	True	1.978001				
CDC reversal on indoor masking prompts experts to ask, 'Where's the data?'	https://www.washingtonpost.com/health/breakthrough-infections-cdc-data/2021/07/28/dcaaa6b2-efce-11eb-a452-4da5fe48582d_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	5.0	July 28, 2021	True	-3.780429				
Caeleb Dressel sets Olympic record in 100 free, wins first individual gold	https://www.nbcolympics.com/news/caeleb-dressel-sets-olympic-record-100-free-wins-first-individual-gold	NBC Sports	45.81	-7.46	26,225,000	Left-Center	6.0	July 28, 2021	True	-0.355576				
Bipartisan Infrastructure Deal Advances in Senate	https://www.wsj.com/articles/infrastructure-agreement-on-major-issues-reached-by-bipartisan-group-gop-negotiator-says-11627487459	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	7.0	July 28, 2021	True	LOWDATA				
Senate votes to take up infrastructure deal	https://thehill.com/homenews/senate/565365-senate-votes-to-begin-debate-on-infrastructure-deal	The Hill	44.99	-0.38	24,400,000	Neutral	8.0	July 28, 2021	True	2.999132				
What the CDC's 'substantial' and 'high' levels of Covid-19 transmission actually mean	https://www.cnn.com/2021/07/28/health/substantial-or-high-covid-19-transmission-wellness/index.html	CNN	43.77	-8.78	79,900,000	Left	9.0	July 28, 2021	True	-1.556284				
Too hot to endure: See how climate change is pushing the human body to the brink	https://www.washingtonpost.com/world/interactive/2021/climate-change-humidity/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10.0	July 28, 2021	True	0.060933				
Tunisia in turmoil as president purges officials and seizes judical power	https://www.theguardian.com/world/2021/jul/28/tunisia-in-turmoil-as-president-purges-officials-and-seizes-judicial-power	The Guardian	44.42	-9.93	88,750,000	Left-Center	11.0	July 28, 2021	True	-7.079825				
Swimming Day 6 preview: Caeleb Dressel races 100m freestyle, Ledecky leads U.S. relay	https://www.nbcolympics.com/news/swimming-day-6-preview-caeleb-dressel-races-100m-freestyle-ledecky-leads-us-relay	NBC Sports	45.81	-7.46	26,225,000	Left-Center	12.0	July 28, 2021	True	-2.350243				
As Biles steps back, more athletes speak up about stress and mental health	https://www.nbcolympics.com/news/biles-steps-back-more-athletes-speak-about-stress-and-mental-health	NBC Sports	45.81	-7.46	26,225,000	Left-Center	13.0	July 28, 2021	True	-1.128616				
At Tokyo Olympics, women athletes say 'enough'	https://www.usatoday.com/story/life/health-wellness/2021/07/28/simone-biles-bikinis-nursing-moms-olympians-fight-sexism-tokyo/5394820001/	USA Today	45.77	-4.12	44,075,000	Left-Center	14.0	July 28, 2021	True	LOWDATA				
Bipartisan infrastructure deal clears key Senate vote	https://www.latimes.com/politics/story/2021-07-28/senate-bipartisan-infrastructure-deal	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	15.0	July 28, 2021	True	LOWDATA				
What Michael Phelps had to say about Simone Biles's exit	https://www.youtube.com/watch?v=ZHZnqUW1l7o	NBC Sports	45.81	-7.46	26,225,000	Left-Center	16.0	July 28, 2021	False	LOWDATA				
The CDC hasn't changed': Biden's top health officials try to sell new masking guidance	https://www.politico.com/news/2021/07/28/biden-health-officials-masking-guidance-501227	Politico	43.35	-7.19	23,750,000	Left-Center	17.0	July 28, 2021	True	1.29949				
"Heat dome dominates U.S. weather as a ""derecho"" threat looms in Midwest"	https://www.axios.com/heat-dome-derecho-threat-midwest-75f44954-38a1-4485-bc67-85ba446aa91d.html	AXIOS	46.38	-4.45	3,613,000	Left-Center	18.0	July 28, 2021	True	-7.45537				
How Suni Lee could win all-around gold	https://www.youtube.com/watch?v=4Qn49CBmd9M	NBC Sports	45.81	-7.46	26,225,000	Left-Center	19.0	July 28, 2021	True	LOWDATA				
CDC mask recommendations have changed again. What's required in your state?	https://www.usatoday.com/story/news/nation/2021/07/27/mask-requirements-state/8087357002/	USA Today	45.77	-4.12	44,075,000	Left-Center	20.0	July 28, 2021	True	2.749778				
I don't feel any fear going out.' How residents are living in America's most vaccinated state	https://www.cnn.com/2021/07/28/us/vermont-most-vaccinated-coronavirus-state/index.html	CNN	43.77	-8.78	79,900,000	Left	21.0	July 28, 2021	True	-0.272434				
I Need to Call It': Behind Simone Biles's Stunning Olympic Withdrawal	https://www.wsj.com/articles/simone-biles-olympic-withdrawal-11627473098	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	22.0	July 28, 2021	True	LOWDATA				
"Bipartisan group reaches agreement on $1.2 trillion ""hard"" infrastructure bill"	https://www.axios.com/bipartisan-infrastructure-bill-finalized-5d15a0b1-a0b7-4f6d-b486-8d894075d09c.html	AXIOS	46.38	-4.45	3,613,000	Left-Center	23.0	July 28, 2021	True	-2.529403				
U.S. women stifle ROC to win 3x3 basketball in sport's Olympic debut	https://www.nbcolympics.com/news/us-women-stifle-roc-win-3x3-basketball-sports-olympic-debut	NBC Sports	45.81	-7.46	26,225,000	Left-Center	24.0	July 28, 2021	True	1.732718				
NY, LA Among Big Cities Joining Rural Areaas in CDC Mask Zone	https://www.bloomberg.com/news/articles/2021-07-27/nyc-la-among-big-cities-joining-rural-states-in-cdc-mask-zone	Bloomberg	45.76	-3.04	26,673,500	Left-Center	25.0	July 28, 2021	False	CONSENT				
4 Takeaways From The Emotional 1st Select Committee Hearing On The Capitol Attack	https://www.npr.org/2021/07/28/1021113538/4-takeaways-from-the-emotional-1st-select-committee-hearing-on-the-capitol-attac	NPR	46.41	-5.24	38,240,000	Left-Center	26.0	July 28, 2021	True	-4.225322				
Justice Dept: Republican Rep. Mo Brooks may be sued over Jan. 6 speech to Trump supporters	https://www.washingtonpost.com/local/legal-issues/mo-brooks-swalwell-lawsuit-trump/2021/07/27/de10122a-ee3a-11eb-bf80-e3877d9c5f06_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	27.0	July 28, 2021	True	1.707845				
England lifts travel restrictions for vaccinated Americans, Europeans	https://thehill.com/policy/international/europe/565213-england-lifts-travel-restrictions-for-vaccinated-americans	The Hill	44.99	-0.38	24,400,000	Neutral	28.0	July 28, 2021	True	-4.221851				
US women's 3-on-3 basketball team makes history with gold medal in sport's Olympic debut	https://www.usatoday.com/story/sports/olympics/2021/07/28/us-womens-3-3-basketball-team-wins-gold-tokyo-games/5398822001/	USA Today	45.77	-4.12	44,075,000	Left-Center	29.0	July 28, 2021	True	-0.176449				
Simone Biles withdraws from individuals all-around final at Tokyo Olympics	https://www.wsls.com/sports/2021/08/01/simone-biles-withdraws-from-floor-exercise-final-in-tokyo/	NBC Sports	45.81	-7.46	26,225,000	Left-Center	30.0	July 28, 2021	False	4.218234				
										ERROR				
										ERROR				
										ERROR				
Suni Lee joins exclusive club of American Olympic all-around champions	https://www.nbcolympics.com/news/suni-lee-joins-exclusive-club-american-olympic-all-around-champions	NBC Sports	45.81	-7.46	26,225,000	Left-Center	1.0	July 29, 2021	True	-1.171049				
Climate change has become real': extreme weather sinks prime US tourism site	https://www.theguardian.com/environment/2021/jul/29/lake-powell-arizona-utah-climate-crisis	The Guardian	44.42	-9.93	88,750,000	Left-Center	2.0	July 29, 2021	True	-5.392549				
Swimming Day 7 roundup: First swimming world record falls	https://www.nbcolympics.com/news/swimming-day-7-roundup-first-swimming-world-record-falls	NBC Sports	45.81	-7.46	26,225,000	Left-Center	3.0	July 29, 2021	True	-0.310095				
Biden pushes cash reward to get vaccinated, new rules for federal workers	https://www.reuters.com/world/us/biden-federal-worker-vaccination-push-affect-millions-2021-07-29/	REUTERS	49.3	-1.65	40,574,000	Neutral	4.0	July 29, 2021	True	-0.223826				
House passes Capitol security bill, sending to Biden's desk	https://www.politico.com/news/2021/07/29/senate-capitol-security-vote-501565	Politico	43.35	-7.19	23,750,000	Left-Center	5.0	July 29, 2021	True	1.034172				
Broke again': Child tax credit payments collide with debt and eviction for working families	https://www.washingtonpost.com/dc-md-va/2021/07/28/broke-again-child-tax-credit-payments-collide-with-debt-eviction-working-families/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	6.0	July 29, 2021	True	-7.21373				
